fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,modified,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
654908,Richarlison de Andrade,FWD,Spurs,20.7,1,0,138,1,0.6,4.31,3.71,7.29,9,4,497,0,0,0,0,0,0,4,35,2,212319.0,Richarlison,de Andrade,509.0,497.0,597.0,MID,FWD,FWD,6.5,212319.0,7.0,13.0,8.0,3.0,0.0,1.0,11.0,5.0,2.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0.0,0.0,138.0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.333,0.333,5,2.333,0.333,0,0.0,0,False
660301,Donyell Malen,MID,Aston Villa,37.6,0,3,112,0,0.15,2.3,2.15,4.77,6,3,296,0,0,0,0,0,0,2,34,0,204646.0,Donyell,Malen,0.0,725.0,53.0,0,MID,MID,5.5,204646.0,9.0,5.0,1.0,4.0,0.0,0.0,9.0,7.0,3.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,112.0,3,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.429,0.429,6,2.429,0.429,0,0.0,0,False
662428,Antonee Robinson,DEF,Fulham,93.6,10,8,507,5,4.17,4.87,0.7,44.79,49,0,3166,0,0,0,0,0,0,35,106,8,169528.0,Antonee,Robinson,283.0,255.0,316.0,DEF,DEF,DEF,5.0,169528.0,2.0,20.0,123.0,61.0,62.0,9.0,157.0,95.0,34.0,0.0,0.0,0.0,36,0,0,0,22,0,0,0,0,0,0.0,0.0,507.0,9,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2.944,0.583,25,3.583,0.694,23,0.0,1,False
662936,Ben Godfrey,DEF,Ipswich,-0.2,0,0,-27,0,0.02,0.02,0.0,6.22,10,0,158,0,0,0,0,0,0,2,-1,1,198826.0,Ben,Godfrey,252.0,715.0,0.0,DEF,DEF,DEF,0.0,198826.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,-27.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.333,0.0,0,-0.333,0.0,0,0.0,0,False
664444,Tomiyasu Takehiro,DEF,Arsenal,1.3,0,0,2,0,0.0,0.18,0.18,0.04,0,0,6,0,0,0,0,0,0,0,1,0,223723.0,Takehiro,Tomiyasu,25.0,22.0,0.0,DEF,DEF,DEF,0.0,223723.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0,0.0,0,False
666857,Yoane Wissa,FWD,Brentford,153.8,6,32,739,9,2.2,20.77,18.58,45.12,45,18,2921,0,0,0,0,0,0,34,185,5,216646.0,Yoane,Wissa,119.0,110.0,135.0,FWD,FWD,FWD,7.5,216646.0,43.0,51.0,19.0,12.0,8.0,8.0,81.0,22.0,10.0,0.0,0.0,0.0,35,0,0,0,0,0,0,0,0,0,0.0,0.0,739.0,32,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5.286,0.686,24,5.286,0.686,0,0.0,0,False
671331,Leon Bailey,MID,Aston Villa,35.2,2,2,174,2,2.92,4.65,1.73,13.91,19,1,1132,0,0,0,0,0,0,14,47,3,215711.0,Leon,Bailey,34.0,28.0,49.0,MID,MID,MID,5.5,215711.0,6.0,18.0,8.0,5.0,3.0,0.0,59.0,7.0,2.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,174.0,2,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.958,0.333,8,1.958,0.333,0,0.0,0,False
671529,Konstantinos Tsimikas,DEF,Liverpool,37.0,1,3,217,4,2.32,2.71,0.39,9.03,8,0,829,0,0,0,0,0,0,9,43,2,214285.0,Konstantinos,Tsimikas,311.0,337.0,377.0,DEF,DEF,DEF,5.0,214285.0,2.0,6.0,17.0,20.0,11.0,2.0,31.0,31.0,11.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,217.0,4,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.389,0.444,8,2.444,0.444,1,0.0,1,False
672469,Ben Chilwell,DEF,Crystal Palace,6.2,0,0,54,0,0.88,1.13,0.25,2.84,4,1,254,0,0,0,0,0,0,1,13,1,172850.0,Ben,Chilwell,195.0,160.0,0.0,DEF,DEF,DEF,0.0,172850.0,3.0,3.0,11.0,6.0,6.0,2.0,20.0,7.0,1.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,54.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.625,0.0,0,1.625,0.0,0,0.0,0,False
674009,Chiedozie Ogbene,MID,Ipswich,4.1,0,0,29,0,0.05,0.05,0.0,2.36,3,0,237,0,0,0,0,0,0,3,7,0,229164.0,Chiedozie,Ogbene,328.0,632.0,0.0,FWD,MID,MID,0.0,229164.0,0.0,7.0,3.0,3.0,1.0,0.0,6.0,7.0,4.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,29.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.4,0.0,0,1.4,0.0,0,0.0,0,False
