fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
303059,Bertrand Traoré,MID,Aston Villa,1.6,0,0,6,0,0.0,0.0,0.0,0.77,0,0,10,0,0,0,0,0,0,2,0,110504.0,Bertrand,Traoré,59.0,0.0,0.0,MID,0,MID,0.0,110504.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,False
303346,Adam Webster,DEF,Brighton,21.1,0,2,212,2,0.33,0.83,0.5,18.16,22,0,1142,1,0,0,0,0,13,26,2,110735.0,Adam,Webster,153.0,147.0,153.0,DEF,DEF,DEF,4.5,110735.0,1.0,3.0,41.0,12.0,16.0,12.0,63.0,14.0,2.0,0.0,0.0,0.0,15,0,0,0,2,0,0,0,3.0,2.0,0.0,0.0,217.0,0,26,5.778,1.733,0.385,5.778,1.733,0.385,0,5.0,-2,False
303919,Jordan Pickford,GK,Everton,156.1,0,22,734,13,0.46,0.46,0.0,56.01,51,0,3420,1,0,0,0,121,38,153,5,111234.0,Jordan,Pickford,263.0,235.0,287.0,GK,GK,GK,5.5,111234.0,0.0,6.0,34.0,0.0,0.0,0.0,354.0,1.0,1.0,80.0,41.0,0.0,38,0,0,0,0,0,0,0,6.0,0.0,80.0,0.0,820.0,23,154,27.818,4.026,0.732,28.0,4.053,0.737,1,86.0,1,False
304355,Odysseas Vlachodimos,GK,Nott'm Forest,12.8,0,0,79,1,0.01,0.01,0.0,7.48,12,0,450,0,0,0,0,10,5,12,0,111452.0,Odysseas,Vlachodimos,710.0,412.0,472.0,GK,GK,GK,4.0,111452.0,0.0,1.0,5.0,0.0,0.0,0.0,35.0,0.0,0.0,9.0,1.0,0.0,5,0,0,0,0,0,0,0,1.0,0.0,9.0,0.0,89.0,2,14,3.0,2.4,0.6,3.5,2.8,0.7,2,10.0,2,False
304455,Joël Veltman,DEF,Brighton,38.5,1,0,294,3,0.53,0.99,0.46,25.63,32,1,1579,0,0,0,0,0,17,49,4,111478.0,Joël,Veltman,151.0,145.0,152.0,DEF,DEF,DEF,4.5,111478.0,3.0,42.0,52.0,41.0,18.0,7.0,76.0,54.0,13.0,0.0,0.0,0.0,27,0,0,0,8,0,0,0,42.0,6.0,0.0,0.0,342.0,0,57,10.889,1.815,0.403,12.667,2.111,0.469,8,48.0,0,False
307317,Vladimír Coufal,DEF,West Ham,71.9,7,9,514,4,3.01,3.36,0.35,66.02,70,0,3135,0,0,0,1,0,36,85,5,164555.0,Vladimír,Coufal,528.0,516.0,0.0,DEF,DEF,DEF,0.0,164555.0,2.0,26.0,83.0,41.0,43.0,15.0,154.0,64.0,23.0,0.0,0.0,0.0,36,0,0,0,10,0,0,0,26.0,4.0,0.0,0.0,544.0,10,96,0.0,2.361,0.0,0.0,2.667,0.0,11,30.0,1,False
308932,Paul Dummett,DEF,Newcastle,2.1,0,0,10,0,0.0,0.02,0.02,0.93,1,0,18,0,0,0,0,0,0,5,0,106618.0,Paul,Dummett,581.0,0.0,0.0,DEF,0,DEF,0.0,106618.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.0,0,5,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0,False
312765,Jack Grealish,MID,Man City,50.5,1,6,199,3,2.69,4.86,2.17,12.58,13,3,998,0,0,0,0,0,10,50,6,114283.0,Jack,Grealish,354.0,349.0,419.0,MID,MID,MID,6.5,114283.0,5.0,41.0,4.0,8.0,6.0,2.0,42.0,13.0,5.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,41.0,10.0,0.0,0.0,250.0,7,51,7.692,2.5,0.385,7.846,2.55,0.392,1,51.0,1,False
318615,Leandro Trossard,MID,Arsenal,153.1,2,11,398,12,2.96,11.25,8.29,13.46,10,12,1633,0,0,0,0,0,18,138,2,116216.0,Leandro,Trossard,26.0,23.0,20.0,MID,MID,MID,7.0,116216.0,22.0,20.0,5.0,16.0,8.0,1.0,88.0,27.0,11.0,0.0,0.0,0.0,34,0,0,0,2,0,0,0,20.0,44.0,0.0,0.0,462.0,12,141,19.714,4.059,0.58,20.143,4.147,0.592,3,64.0,1,False
319784,Alisson Ramses Becker,GK,Liverpool,108.5,0,9,575,8,0.0,0.0,0.0,35.21,30,0,2520,0,0,0,0,83,28,107,1,116535.0,Alisson,Ramses Becker,291.0,310.0,366.0,GK,GK,GK,5.5,116535.0,0.0,5.0,21.0,0.0,0.0,0.0,221.0,0.0,0.0,49.0,34.0,0.0,28,0,0,0,0,0,0,0,5.0,0.0,49.0,0.0,629.0,9,107,19.455,3.821,0.695,19.455,3.821,0.695,0,54.0,0,False
